Latitud,Longitud,Calle,Colonia,Municipio,Estado,CP
227.348.647,-1.024.912.422,Entrada La Zacatecana-Laguna de Arriba,No especificada,La Zacatecana,Zacatecas,98605
227.486.009,-102.497.511,Privada San Jerónimo 2,No especificada,Guadalupe,Zacatecas,98605
227.204.124,-1.024.753.082,Calle no registrada,No especificada,No especificado,Zacatecas,98605
22.778.895,-1.026.021.847,Calle no registrada,No especificada,Zacatecas,Zacatecas,98047
227.778.336,-1.025.841.942,Calle Tecolutla,No especificada,Zacatecas,Zacatecas,98050
227.797.314,-1.025.988.118,Calle no registrada,No especificada,Zacatecas,Zacatecas,98047
22.781.371,-1.026.212.431,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
227.776.409,-1.026.072.345,Calle no registrada,No especificada,Zacatecas,Zacatecas,98047
227.843.003,-1.026.146.438,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
227.804.222,-1.025.798.521,Michoacán,No especificada,Zacatecas,Zacatecas,98000
227.785.912,-1.026.077.289,Boulevard del Bote,No especificada,No especificado,Zacatecas,98047
227.778.149,-102.587.957,Calle no registrada,No especificada,Zacatecas,Zacatecas,98050
227.850.288,-1.026.150.726,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
227.813.833,-1.025.921.992,Calle no registrada,No especificada,Zacatecas,Zacatecas,98024
22.777.394,-1.025.934.483,Calle no registrada,No especificada,Zacatecas,Zacatecas,98024
227.857.883,-1.026.089.041,Calle no registrada,No especificada,No especificado,Zacatecas,98047
227.844.793,-1.026.134.422,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
227.836.983,-1.026.080.582,Boulevard del Bote,No especificada,No especificado,Zacatecas,98047
22.783.226,-102.620.571,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
227.800.849,-1.026.135.045,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
227.806.092,-1.025.876.508,Calle no registrada,No especificada,Zacatecas,Zacatecas,98024
227.777.398,-1.026.104.085,Calle no registrada,No especificada,Zacatecas,Zacatecas,98047
227.800.056,-1.026.088.189,Boulevard del Bote,No especificada,No especificado,Zacatecas,98047
22.784.048,-1.026.105.831,Boulevard del Bote,No especificada,No especificado,Zacatecas,98047
227.772.231,-1.026.047.089,Calle no registrada,No especificada,Zacatecas,Zacatecas,98047
22.786.079,-1.026.184.188,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
227.822.279,-1.026.082.227,Boulevard del Bote,No especificada,No especificado,Zacatecas,98047
227.838.185,-1.026.123.448,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
227.773.003,-1.026.188.645,Calle Tiro San Bartolo,No especificada,Zacatecas,Zacatecas,98047
227.862.887,-102.614.105,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
227.852.978,-1.026.109.344,Calle no registrada,No especificada,No especificado,Zacatecas,98047
227.821.178,-1.025.999.433,Paseo de la Galería,No especificada,Zacatecas,Zacatecas,98047
227.856.884,-1.026.180.797,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
227.771.584,-1.025.993.513,Paseo de la Galeria,No especificada,Zacatecas,Zacatecas,98047
227.832.258,-1.026.220.824,Calle no registrada,No especificada,No especificado,Zacatecas,98047
227.788.155,-1.025.812.273,Calle 18 de Marzo,No especificada,Zacatecas,Zacatecas,98050
227.804.548,-1.025.930.643,Calle no registrada,No especificada,Zacatecas,Zacatecas,98024
227.784.651,-1.026.021.029,Paseo de la Galería,No especificada,Zacatecas,Zacatecas,98047
227.809.891,-1.026.034.257,Calle Nivel,No especificada,Zacatecas,Zacatecas,98047
227.812.334,-1.025.788.455,Calle no registrada,No especificada,Zacatecas,Zacatecas,98000
227.825.743,-1.026.080.249,Boulevard del Bote,No especificada,No especificado,Zacatecas,98047
227.777.965,-1.026.139.524,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
227.777.662,-1.026.191.631,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
22.778.435,-1.026.197.288,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
22.781.988,-1.026.144.692,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
227.851.716,-1.026.108.634,Calle no registrada,No especificada,No especificado,Zacatecas,98047
227.846.189,-1.026.051.028,Paseo de la Galería,No especificada,Zacatecas,Zacatecas,98047
227.755.528,-1.025.837.284,Calle Salamanca,No especificada,Zacatecas,Zacatecas,98050
227.816.269,-1.025.811.943,Calle no registrada,No especificada,Zacatecas,Zacatecas,98000
227.813.761,-1.026.206.442,Circuito Cerro del Gato,No especificada,Zacatecas,Zacatecas,98047
227.786.293,-102.614.044,Plaza La Quemada,No especificada,Zacatecas,Zacatecas,98047
227.766.372,-1.025.947.443,Calle no registrada,No especificada,Zacatecas,Zacatecas,98047
227.834.423,-1.026.030.045,Paseo de la Galería,No especificada,Zacatecas,Zacatecas,98047
227.772.559,-1.025.712.263,Calle Urizar,No especificada,Zacatecas,Zacatecas,98000
227.719.705,-1.025.692.589,Calle San Luis,No especificada,Zacatecas,Zacatecas,98000
227.761.564,-1.025.696.264,Calle San Gabriel,No especificada,Zacatecas,Zacatecas,98000
227.776.125,-1.025.708.078,Calle Segunda de Guerreros,No especificada,Zacatecas,Zacatecas,98000
227.761.352,-1.025.687.647,Calle Segunda del Tanquecito,No especificada,Zacatecas,Zacatecas,98000
227.729.394,-1.025.691.902,Calle de la Victoria,No especificada,Zacatecas,Zacatecas,98000
227.794.799,-1.025.708.121,Calle Urizar,No especificada,Zacatecas,Zacatecas,98000
227.717.158,-1.025.705.899,Calle de la Victoria,No especificada,Zacatecas,Zacatecas,98000
227.757.585,-1.025.681.931,Calle Altapalmira,No especificada,Zacatecas,Zacatecas,98000
227.725.153,-1.025.706.941,Calle Ledesma,No especificada,Zacatecas,Zacatecas,98000
227.767.392,-1.025.702.767,Calle Rebote de Barbosa,No especificada,Zacatecas,Zacatecas,98000
227.732.067,-1.025.633.768,Calle Ingeniero Civil,No especificada,Zacatecas,Zacatecas,98000
227.791.958,-1.025.699.126,Calle Segunda de Buenavista,No especificada,Zacatecas,Zacatecas,98000
227.714.981,-1.025.680.551,Calle Alemania,No especificada,Zacatecas,Zacatecas,98000
227.729.086,-1.025.672.111,Calle de la Primavera,No especificada,Zacatecas,Zacatecas,98000
2.277.986,-1.025.703.928,Calle Segunda de Guerreros,No especificada,Zacatecas,Zacatecas,98024
227.792.726,-1.025.699.007,Calle Segunda de Buenavista,No especificada,Zacatecas,Zacatecas,98000
227.728.867,-1.025.652.241,Calle Sor Juana Inés de la Cruz,No especificada,Zacatecas,Zacatecas,98000
227.796.011,-1.025.708.121,Calle Urizar,No especificada,Zacatecas,Zacatecas,98000
227.735.299,-1.025.634.535,Calle Altapalmira,No especificada,Zacatecas,Zacatecas,98000
227.737.313,-1.025.669.389,Calle Sor Juana Inés de la Cruz,No especificada,Zacatecas,Zacatecas,98000
227.738.861,-1.025.640.244,Calle Altapalmira,No especificada,Zacatecas,Zacatecas,98000
227.789.208,-1.025.696.328,Calle La Bufa,No especificada,Zacatecas,Zacatecas,98024
227.783.437,-1.025.704.482,Calle Barrio de Buenavista,No especificada,Zacatecas,Zacatecas,98024
227.720.047,-1.025.699.075,Calle Crucero de San Luis,No especificada,Zacatecas,Zacatecas,98000
227.766.269,-1.025.711.884,Calle del Deseo,No especificada,Zacatecas,Zacatecas,98000
227.720.574,-1.025.692.801,Calle San Luis,No especificada,Zacatecas,Zacatecas,98000
227.742.959,-1.025.661.744,Callejón de las Colonias,No especificada,Zacatecas,Zacatecas,98000
227.724.978,-10.257.037,Callejón de los Pirules,No especificada,Zacatecas,Zacatecas,98000
227.697.447,-1.025.686.923,Callejón Tampico,No especificada,Zacatecas,Zacatecas,98000
227.730.242,-1.025.683.322,Calle Donato Guerra,No especificada,Zacatecas,Zacatecas,98000
227.745.336,-1.025.702.682,Calle del Ángel,No especificada,Zacatecas,Zacatecas,98000
227.738.704,-1.025.674.359,Calle no registrada,No especificada,Zacatecas,Zacatecas,98000
227.762.059,-1.025.695.254,Calle San Gabriel,No especificada,Zacatecas,Zacatecas,98000
227.717.549,-1.025.662.737,Calle Amado Nervo,No especificada,Zacatecas,Zacatecas,98000
227.765.222,-1.025.688.321,Calle Arroyo de la Bufa,No especificada,Zacatecas,Zacatecas,98000
227.793.261,-1.025.700.103,Calle Segunda de Buenavista,No especificada,Zacatecas,Zacatecas,98000
227.720.404,-1.025.663.603,Calle Donato Guerra,No especificada,Zacatecas,Zacatecas,98000
227.777.752,-1.025.691.158,Calle no registrada,No especificada,Zacatecas,Zacatecas,98000
227.698.667,-102.568.592,Callejón Tampico,No especificada,Zacatecas,Zacatecas,98000
22.773.945,-1.025.658.486,Calle del Tepozán,No especificada,Zacatecas,Zacatecas,98000
227.733.289,-1.025.665.785,Calle Sor Juana Inés de la Cruz,No especificada,Zacatecas,Zacatecas,98000
22.770.639,-1.025.660.948,Calle Paseo La Bufa,No especificada,Zacatecas,Zacatecas,98000
22.770.463,-1.025.676.314,Callejón de Peñuela,No especificada,Zacatecas,Zacatecas,98000
227.769.977,-1.025.710.469,Callejón de Guadalajarita,No especificada,Zacatecas,Zacatecas,98000
227.773.408,-1.025.707.509,Calle de la Mantequilla,No especificada,Zacatecas,Zacatecas,98000
227.779.302,-1.025.701.566,Calle Segunda de Buenavista,No especificada,Zacatecas,Zacatecas,98000
227.747.891,-1.025.675.564,Calle Altapalmira,No especificada,Zacatecas,Zacatecas,98000
227.735.929,-1.025.660.639,Calle del Tepozán,No especificada,Zacatecas,Zacatecas,98000
22.772.346,-1.025.656.822,Calle Sor Juana Inés de la Cruz,No especificada,Zacatecas,Zacatecas,98000
227.701.066,-1.025.731.707,Plaza Bicentenario,No especificada,Zacatecas,Zacatecas,98000
227.709.359,-102.571.798,Calle Víctor Rosales,No especificada,Zacatecas,Zacatecas,98000
227.700.462,-1.025.746.256,Avenida Rayón,No especificada,Zacatecas,Zacatecas,98050
227.704.159,-1.025.742.931,Callejón de Quijano,No especificada,Zacatecas,Zacatecas,98000
227.668.114,-1.025.765.124,Calle Niños Héroes,No especificada,Zacatecas,Zacatecas,98050
227.737.952,-1.025.756.107,Calle Fernando Villalpando,No especificada,Zacatecas,Zacatecas,98000
227.763.741,-1.025.726.354,Avenida Hidalgo,No especificada,Zacatecas,Zacatecas,98000
227.694.939,-1.025.720.429,Plaza Bicentenario,No especificada,Zacatecas,Zacatecas,98000
227.717.952,-1.025.725.785,Calle Arroyo de la Plata,No especificada,Zacatecas,Zacatecas,98000
227.733.884,-1.025.731.327,Calle Allende,No especificada,Zacatecas,Zacatecas,98000
227.695.215,-1.025.738.201,Callejón del Gigante,No especificada,Zacatecas,Zacatecas,98050
227.662.062,-1.025.767.662,Avenida Morelos,No especificada,Zacatecas,Zacatecas,98000
227.696.033,-1.025.703.758,Callejón del Barro,No especificada,Zacatecas,Zacatecas,98000
227.719.726,-1.025.715.929,Callejón de Aurora,No especificada,Zacatecas,Zacatecas,98000
227.746.882,-1.025.724.092,Calle Tacuba,No especificada,Zacatecas,Zacatecas,98000
227.744.513,-1.025.718.337,Calle no registrada,No especificada,Zacatecas,Zacatecas,98000
227.699.792,-1.025.752.704,Callejon del Resbalon,No especificada,Zacatecas,Zacatecas,98050
227.670.078,-1.025.770.199,Avenida Ignacio Rayón,No especificada,Zacatecas,Zacatecas,98050
227.662.586,-102.576.268,Callejón de Ruiz,No especificada,Zacatecas,Zacatecas,98000
227.738.059,-1.025.734.382,Avenida Hidalgo,No especificada,Zacatecas,Zacatecas,98000
22.768.591,-1.025.757.505,Avenida Ignacio Rayón,No especificada,Zacatecas,Zacatecas,98050
227.676.551,-1.025.748.182,Callejon Del Codo,No especificada,Zacatecas,Zacatecas,98050
227.740.822,-1.025.748.364,Privada Crucero del Lazo,No especificada,Zacatecas,Zacatecas,98000
227.730.616,-1.025.745.535,Peatonal Callejón de Cuevas,No especificada,Zacatecas,Zacatecas,98000
227.708.475,-1.025.742.934,Callejón Juventino Rosas,No especificada,Zacatecas,Zacatecas,98000
227.668.089,-1.025.755.339,Calle Antigua Matamoros,No especificada,Zacatecas,Zacatecas,98050
227.750.283,-102.574.709,Calle Mártires de Chicago,No especificada,Zacatecas,Zacatecas,98000
227.692.316,-1.025.749.236,Avenida Rayón,No especificada,Zacatecas,Zacatecas,98050
227.699.237,-1.025.700.702,Callejón del Barro,No especificada,Zacatecas,Zacatecas,98000
227.720.779,-102.571.971,Avenida Vicente Guerrero,No especificada,Zacatecas,Zacatecas,98000
227.702.574,-1.025.734.031,Callejón de Quijano,No especificada,Zacatecas,Zacatecas,98000
227.686.194,-1.025.728.424,Boulevard Adolfo López Mateos,No especificada,Zacatecas,Zacatecas,98000
227.727.783,-1.025.754.561,Peatonal Jardín Juárez,No especificada,Zacatecas,Zacatecas,98000
227.747.086,-1.025.719.209,Calle Aguascalientes,No especificada,Zacatecas,Zacatecas,98000
22.772.234,-1.025.731.295,Calle Aldama,No especificada,Zacatecas,Zacatecas,98000
227.672.846,-1.025.752.273,Callejón del Portillo,No especificada,Zacatecas,Zacatecas,98050
227.693.859,-1.025.722.902,Arroyo de la Plata,No especificada,Zacatecas,Zacatecas,98000
227.750.562,-1.025.739.381,Callejón de San Agustín,No especificada,Zacatecas,Zacatecas,98000
227.673.621,-1.025.771.282,Calle Segunda de Palomares,No especificada,Zacatecas,Zacatecas,98050
227.747.826,-1.025.731.986,Plazuela Francisco Goitia,No especificada,Zacatecas,Zacatecas,98000
227.701.808,-1.025.702.856,Avenida Ramón López Velarde,No especificada,Zacatecas,Zacatecas,98000
227.743.784,-1.025.726.935,Calle no registrada,No especificada,Zacatecas,Zacatecas,98000
227.700.065,-1.025.754.292,Callejon del Resbalon,No especificada,Zacatecas,Zacatecas,98050
227.714.881,-1.025.716.257,Avenida Vicente Guerrero,No especificada,Zacatecas,Zacatecas,98000
227.706.792,-1.025.714.879,Calle Doctor Diego Cuevas Cansino,No especificada,Zacatecas,Zacatecas,98000
227.694.814,-1.025.747.604,Avenida Rayón,No especificada,Zacatecas,Zacatecas,98050
227.773.287,-1.025.718.965,Avenida Hidalgo,No especificada,Zacatecas,Zacatecas,98000
227.704.123,-1.025.729.586,Plaza Bicentenario,No especificada,Zacatecas,Zacatecas,98000
227.738.048,-102.572.268,Calle Primero de Mayo,No especificada,Zacatecas,Zacatecas,98000
22.768.986,-1.025.743.386,Callejón Primero del Enano,No especificada,Zacatecas,Zacatecas,98050
227.279.193,-1.025.118.513,Calle Valle Dorado,No especificada,Guadalupe,Zacatecas,98605
227.251.883,-1.025.273.128,Calle no registrada,No especificada,Guadalupe,Zacatecas,98600
22.726.733,-1.025.000.033,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.228.586,-102.497.718,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
227.288.544,-1.025.231.094,Calle Solidaridad,No especificada,Guadalupe,Zacatecas,98600
227.178.184,-1.025.064.345,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
227.129.219,-1.025.078.554,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
227.264.373,-1.025.017.757,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.100.801,-1.024.940.216,Calle Vicente Guerrero,No especificada,Cieneguitas,Zacatecas,98605
227.279.254,-1.025.155.939,Calle Valle Dorado,No especificada,Guadalupe,Zacatecas,98605
227.147.762,-102.519.726,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.200.129,-1.025.241.791,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
226.990.902,-1.025.255.793,Calle no registrada,No especificada,No especificado,Zacatecas,98605
227.227.635,-1.025.175.298,Carretera Guadalupe-San Ramón-San José de Tapias,No especificada,Guadalupe,Zacatecas,98605
227.152.747,-1.025.110.917,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.139.095,-1.024.979.447,1ro de Mayo,No especificada,Cieneguitas,Zacatecas,98605
227.138.115,-1.025.256.557,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.703.983,-1.025.142.766,Carretera Guadalupe-San Ramón-San José de Tapias,No especificada,No especificado,Zacatecas,98605
227.214.496,-1.025.188.261,Carretera Guadalupe-San Ramón-San José de Tapias,No especificada,Guadalupe,Zacatecas,98605
227.233.146,-1.025.021.678,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
22.701.416,-1.025.172.391,Carretera Guadalupe-San Ramón-San José de Tapias,No especificada,No especificado,Zacatecas,98605
227.343.122,-1.024.967.769,Calle Valenciana,No especificada,Guadalupe,Zacatecas,98605
227.190.693,-1.025.183.033,Carretera Guadalupe-San Ramón-San José de Tapias,No especificada,No especificado,Zacatecas,98605
227.270.102,-102.496.917,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.282.788,-1.025.121.068,Calle Valle Dorado,No especificada,Guadalupe,Zacatecas,98605
227.293.667,-1.025.230.223,Calle Solidaridad,No especificada,Guadalupe,Zacatecas,98600
227.374.611,-102.513.728,Calle Libramiento Tránsito Pesado,No especificada,Guadalupe,Zacatecas,98600
227.303.961,-102.502.869,Privada Pirita,No especificada,Guadalupe,Zacatecas,98605
227.139.601,-1.025.238.529,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.241.239,-1.025.085.534,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
22.727.206,-1.025.040.764,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.100.689,-1.025.168.252,Carretera Guadalupe-San Ramón-San José de Tapias,No especificada,No especificado,Zacatecas,98605
227.143.323,-102.510.528,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.307.438,-1.024.978.797,Calle Mina Muzo,No especificada,Guadalupe,Zacatecas,98605
227.099.938,-1.025.116.898,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.112.216,-1.025.115.648,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.023.951,-1.025.217.846,Cerrada Arteisco,No especificada,No especificado,Zacatecas,98605
227.016.705,-1.025.210.704,Carretera Guadalupe-San Ramón-San José de Tapias,No especificada,No especificado,Zacatecas,98605
227.344.362,-1.025.195.505,Calle no registrada,No especificada,Guadalupe,Zacatecas,98600
22.698.121,-1.025.218.543,Carretera Guadalupe-San Ramón-San José de Tapias,No especificada,No especificado,Zacatecas,98605
227.358.618,-1.024.988.289,Prolongación Valenciana,No especificada,Guadalupe,Zacatecas,98605
227.194.517,-1.025.086.527,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
227.259.183,-1.025.120.472,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.087.236,-1.025.049.417,Calle no registrada,No especificada,Cieneguitas,Zacatecas,98605
227.094.348,-1.025.094.373,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.046.216,-102.524.833,Calle no registrada,No especificada,No especificado,Zacatecas,98605
227.178.175,-1.025.214.371,Calle no registrada,No especificada,Guadalupe,Zacatecas,98605
227.138.558,-102.493.859,Calle Latino,No especificada,Cieneguitas,Zacatecas,98605
2.271.684,-102.499.342,Calle Guadalupe,No especificada,Cieneguitas,Zacatecas,98605
227.505.469,-102.513.878,Calle Vicente Guerrero,No especificada,Guadalupe,Zacatecas,98613
227.485.845,-1.025.130.776,Calle Francia,No especificada,Guadalupe,Zacatecas,98600
227.512.266,-1.025.194.932,Calle Ocampo,No especificada,Guadalupe,Zacatecas,98600
22.749.354,-1.025.194.378,Calle San Antonio,No especificada,Guadalupe,Zacatecas,98600
227.492.239,-1.025.109.824,Calle Félix U. Gómez,No especificada,Guadalupe,Zacatecas,98613
227.489.565,-1.025.046.787,Avenida Secretaría de la Defensa Nacional,No especificada,Guadalupe,Zacatecas,98613
227.544.785,-1.025.247.103,Avenida Heróico Colegio Militar,No especificada,Guadalupe,Zacatecas,98600
227.504.672,-1.025.044.598,Avenida Secretaría de la Defensa Nacional,No especificada,Guadalupe,Zacatecas,98613
227.474.738,-1.025.063.479,Calle no registrada,No especificada,Guadalupe,Zacatecas,98613
227.542.198,-1.025.189.186,Calle 9 de Agosto,No especificada,Guadalupe,Zacatecas,98613
227.509.887,-1.025.128.997,Calle Telégrafos,No especificada,Guadalupe,Zacatecas,98600
227.532.666,-1.025.248.193,Boulevard José López Portillo,No especificada,Guadalupe,Zacatecas,98608
227.514.252,-1.025.007.165,Calle San Pedro,No especificada,Guadalupe,Zacatecas,98615
227.520.471,-1.025.167.472,Calle Aurora,No especificada,Guadalupe,Zacatecas,98613
227.484.008,-1.025.095.275,Calle Felipe Ángeles,No especificada,Guadalupe,Zacatecas,98613
227.556.767,-1.025.164.865,Privada Primera Niños Héroes,No especificada,Guadalupe,Zacatecas,98613
227.506.536,-1.025.111.359,Calle Telégrafos,No especificada,Guadalupe,Zacatecas,98600
227.453.066,-1.025.059.671,Prolongación de 1910,No especificada,Guadalupe,Zacatecas,98600
227.460.876,-102.504.032,Calle Secretaria de Educación Pública,No especificada,Guadalupe,Zacatecas,98613
227.549.201,-1.025.086.092,Calle Lázaro Cárdenas,No especificada,Guadalupe,Zacatecas,98613
227.552.506,-1.025.169.396,Calle Zempoala,No especificada,Guadalupe,Zacatecas,98613
227.510.662,-1.025.050.108,Avenida Secretaría de la Defensa Nacional,No especificada,Guadalupe,Zacatecas,98613
227.492.048,-1.025.107.358,Calle Félix U. Gómez,No especificada,Guadalupe,Zacatecas,98613
22.748.186,-1.025.069.884,Avenida Secretaría de la Defensa Nacional,No especificada,Guadalupe,Zacatecas,98613
227.486.842,-1.025.002.916,Calle Secretaría P. Fomento Industrial,No especificada,Guadalupe,Zacatecas,98605
227.536.031,-1.025.102.532,Calle Francisco Villa,No especificada,Guadalupe,Zacatecas,98613
227.527.558,-102.510.569,Calle Miguel Hidalgo,No especificada,Guadalupe,Zacatecas,98613
227.507.144,-1.025.132.859,Calle Segunda de Vicente Guerrero,No especificada,Guadalupe,Zacatecas,98613
227.528.916,-102.507.804,Privada Francisco Villa,No especificada,Guadalupe,Zacatecas,98613
227.560.095,-1.025.114.833,Calle Pedro Ruíz González,No especificada,Guadalupe,Zacatecas,98613
227.512.012,-1.025.054.946,Avenida Secretaría de la Defensa Nacional,No especificada,Guadalupe,Zacatecas,98613
227.515.299,-1.025.186.697,Calle del Ángel,No especificada,Guadalupe,Zacatecas,98600
227.519.511,-1.025.199.409,Calle Ocampo,No especificada,Guadalupe,Zacatecas,98600
227.496.811,-1.025.131.409,Calle del Ángel,No especificada,Guadalupe,Zacatecas,98613
227.492.275,-102.518.601,Alameda Adolfo López Mateos,No especificada,Guadalupe,Zacatecas,98600
227.520.316,-1.025.131.915,Calle 5 de Mayo,No especificada,Guadalupe,Zacatecas,98613
227.518.884,-1.025.220.042,Calle San Rafaél,No especificada,Guadalupe,Zacatecas,98600
227.499.014,-1.025.092.683,Calle Felipe Ángeles,No especificada,Guadalupe,Zacatecas,98613
227.533.303,-1.025.177.183,Calle 5 de Mayo,No especificada,Guadalupe,Zacatecas,98600
227.553.597,-1.025.170.112,Calle no registrada,No especificada,Guadalupe,Zacatecas,98613
22.751.461,-1.025.126.787,Calle Vicente Guerrero,No especificada,Guadalupe,Zacatecas,98613
22.755.574,-1.025.088.997,Carretera Saucedo de la Borda,No especificada,Guadalupe,Zacatecas,98615
